# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
vegetable bouillon powder,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable broth powder,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable cooking oil,Oils,Vegetable oils,Fats & oils,plant
vegetable dip mix,Prepared mixes,Seasoning mixes,Condiments & sauces,plant
vegetable glycerin,Baking ingredients,Stabilizers,Grains,plant
vegetable juice,Juices,Fruit juices,Fruits,plant
vegetable juice cocktail,Juices,Fruit juices,Fruits,plant
vegetable margarine,Margarine & shortening,Margarine,Fats & oils,plant
vegetable oil,Oils,Vegetable oils,Fats & oils,plant
vegetable oil +,Oils,Vegetable oils,Fats & oils,plant
vegetable oil cooking spray,Oils,Vegetable oils,Fats & oils,plant
vegetable oil salt,Salt & seasonings,Salt,Herbs & spices,plant
vegetable oil spray,Oils,Vegetable oils,Fats & oils,plant
vegetable oil vegetable,Oils,Vegetable oils,Fats & oils,plant
vegetable recipe soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable rotini,Refined grains,Pasta,Grains,plant
vegetable salad,Leafy greens,Lettuce,Vegetables,plant
vegetable salt,Salt & seasonings,Salt,Herbs & spices,plant
vegetable seasoning,Spice blends,American blends,Herbs & spices,plant
vegetable soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable stock base,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable stock cube,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable stock cubes,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable stock powder,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable suet,Margarine & shortening,Animal fats,Fats & oils,animal
vegetables oil,Oils,Vegetable oils,Fats & oils,plant
vegetarian broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetarian burger,Processed meat,Fresh sausage,Protein (animal),animal
vegetarian burger crumbles,Processed meat,Fresh sausage,Protein (animal),animal
vegetarian chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
vegetarian chili with,Non-starchy vegetables,Chili peppers,Vegetables,plant
veggie broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
veggie burger,Processed meat,Fresh sausage,Protein (animal),animal
veggie burgers,Processed meat,Fresh sausage,Protein (animal),animal
veggie oil,Oils,Vegetable oils,Fats & oils,plant
veggie patties,Processed meat,Fresh sausage,Protein (animal),animal
veggie patty,Processed meat,Fresh sausage,Protein (animal),animal
veggie stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegi salt,Salt & seasonings,Salt,Herbs & spices,plant
vegtable oil,Oils,Vegetable oils,Fats & oils,plant
velveeta,Processed cheese,Processed cheese,Dairy,dairy
velveeta cheese,Processed cheese,Processed cheese,Dairy,dairy
velveeta cheese spread,Processed cheese,Processed cheese,Dairy,dairy
velveeta cheesy,Processed cheese,Processed cheese,Dairy,dairy
velveeta pasteurized process cheese spread,Processed cheese,Processed cheese,Dairy,dairy
velveeta reduced fat cheese,Processed cheese,Processed cheese,Dairy,dairy
velveeta shells,Processed cheese,Processed cheese,Dairy,dairy
velveeta slices,Processed cheese,Processed cheese,Dairy,dairy
velveeta®,Processed cheese,Processed cheese,Dairy,dairy
velveta cheese,Aged cheese,Aged cheese,Dairy,dairy
velvetta cheese,Aged cheese,Aged cheese,Dairy,dairy
verde,Condiments & sauces,Mexican pastes,Condiments & sauces,plant
verde soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vermouth,Alcoholic beverages,Wine,Condiments & sauces,plant
vermouth dry,Alcoholic beverages,Wine,Condiments & sauces,plant
very lean hamburger,Red meat,Ground beef,Protein (animal),animal
vidalia,Non-starchy vegetables,Allium,Vegetables,plant
vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
vinaigrette dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
vinaigrette salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
vinegar dressing,Condiments & sauces,Vinegars,Condiments & sauces,plant
vinegar white,Condiments & sauces,Vinegars,Condiments & sauces,plant
virgin oil,Oils,Vegetable oils,Fats & oils,plant
virtue cider michigan,Alcoholic beverages,Cider,Condiments & sauces,plant
vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
wafers,Sweets,Confectionery,Sweets,plant
waffle,Bread & baked goods,Pastries,Grains,plant
waffle batter,Bread & baked goods,Pastries,Grains,plant
waffle cone,Bread & baked goods,Pastries,Grains,plant
waffle cones,Bread & baked goods,Pastries,Grains,plant
waffle iron,Bread & baked goods,Pastries,Grains,plant
waffle mix,Prepared mixes,Baking mixes,Grains,plant
waffle syrup,Sweets,Syrup,Sweets,plant
waffles,Bread & baked goods,Pastries,Grains,plant
wagon wheel macaroni,Refined grains,Pasta,Grains,plant
walla walla,Non-starchy vegetables,Allium,Vegetables,plant
warm beer,Alcoholic beverages,Beer,Condiments & sauces,plant
warm broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
warm coffee,Coffee & tea,Coffee,Herbs & spices,plant
warm roll,Bread & baked goods,Bread,Grains,plant
wasabi,Dried spices,Ground spices,Herbs & spices,plant
wasabi oil,Oils,Vegetable oils,Fats & oils,plant
wasabi peas,Legumes,Peas,Protein (plant),plant
wasabi powder,Dried spices,Ground spices,Herbs & spices,plant
water crackers,Bread & baked goods,Crackers,Grains,plant
water salt,Salt & seasonings,Salt,Herbs & spices,plant
waverly crackers,Bread & baked goods,Crackers,Grains,plant
waverly wafers,Sweets,Confectionery,Sweets,plant
weak tea,Coffee & tea,Tea,Herbs & spices,plant
weak vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
weight bittersweet,Sweets,Chocolate,Sweets,plant
weight cheese,Aged cheese,Aged cheese,Dairy,dairy
weight chevre,Fresh cheese,Fresh cheese,Dairy,dairy
weight fettuccine,Refined grains,Pasta,Grains,plant
weight lasagna noodles,Refined grains,Pasta,Grains,plant
weight linguine,Refined grains,Pasta,Grains,plant
weight margarine,Margarine & shortening,Margarine,Fats & oils,plant
weight rotini,Refined grains,Pasta,Grains,plant
weight velveeta,Processed cheese,Processed cheese,Dairy,dairy
wesson oil,Oils,Vegetable oils,Fats & oils,plant
wheatgerm,Whole grains,Whole grains,Grains,plant
wheaties cereal,Prepared mixes,Cereals,Grains,plant
whey protein,Prepared mixes,Baking mixes,Grains,plant
whipped margarine,Margarine & shortening,Margarine,Fats & oils,plant
whipped salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
whipping,Cream & butter,Cream,Dairy,dairy
whipping topping,Cream & butter,Cream,Dairy,dairy
whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
whisky,Alcoholic beverages,Whisky,Condiments & sauces,plant
white albacore,Oily fish,Tuna,Protein (animal),animal
white ale,Alcoholic beverages,Beer,Condiments & sauces,plant
white american cheese,Processed cheese,Processed cheese,Dairy,dairy
white angel,Prepared mixes,Cake mixes,Sweets,plant
white baking chips,Sweets,Chocolate,Sweets,plant
white balsamic,Condiments & sauces,Vinegars,Condiments & sauces,plant
white balsamic vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
white beer,Alcoholic beverages,Beer,Condiments & sauces,plant
white breadcrumb,Bread & baked goods,Bread crumbs,Grains,plant
white breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
white cake,Prepared mixes,Cake mixes,Sweets,plant
white cake layers,Prepared mixes,Cake mixes,Sweets,plant
white cake mix,Prepared mixes,Cake mixes,Sweets,plant
white candy coating,Sweets,Confectionery,Sweets,plant
white cheese,Aged cheese,Aged cheese,Dairy,dairy
white cooking wine,Alcoholic beverages,Wine,Condiments & sauces,plant
white crabmeat,Shellfish,Crab,Protein (animal),animal
white crackers,Bread & baked goods,Crackers,Grains,plant
white creme,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
white crisco,Margarine & shortening,Shortening,Fats & oils,plant
white cupcakes,Sweets,Confectionery,Sweets,plant
white decorating icing,Sweets,Confectionery,Sweets,plant
white dinner wine,Alcoholic beverages,Wine,Condiments & sauces,plant
white distilled vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
white dry wine,Alcoholic beverages,Wine,Condiments & sauces,plant
white fish,White fish,Saltwater white fish,Protein (animal),animal
white fish fillet,White fish,Saltwater white fish,Protein (animal),animal
white frosting,Sweets,Confectionery,Sweets,plant
white grits,Whole grains,Wheat,Grains,plant
white hominy,Whole grains,Whole grains,Grains,plant
white icing,Sweets,Confectionery,Sweets,plant
white jiffy cake mix,Prepared mixes,Cake mixes,Sweets,plant
white karo,Sweets,Syrup,Sweets,plant
white karo syrup,Sweets,Syrup,Sweets,plant
white kidney,Organ meats,Kidney,Protein (animal),animal
white lily self-rising,Baking ingredients,Leaveners,Grains,plant
white lump crabmeat,Shellfish,Crab,Protein (animal),animal
white morsels,Sweets,Chocolate,Sweets,plant
white peppercorns,Dried spices,Whole spices,Herbs & spices,plant
white port,Alcoholic beverages,Wine,Condiments & sauces,plant
white port wine,Alcoholic beverages,Wine,Condiments & sauces,plant
white rolls,Bread & baked goods,Bread,Grains,plant
white rum,Alcoholic beverages,Rum,Condiments & sauces,plant
white salt,Salt & seasonings,Salt,Herbs & spices,plant
white self-rising,Baking ingredients,Leaveners,Grains,plant
white sesame,Seeds,Sesame,Nuts & seeds,plant
white sesame paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
white sprinkles,Sweets,Confectionery,Sweets,plant
white stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
white syrup,Sweets,Syrup,Sweets,plant
white table wine,Alcoholic beverages,Wine,Condiments & sauces,plant
white tea,Coffee & tea,Tea,Herbs & spices,plant
white tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
white toast,Bread & baked goods,Bread,Grains,plant
white vanilla baking chips,Sweets,Chocolate,Sweets,plant
white vanilla chips,Sweets,Chocolate,Sweets,plant
white vermouth,Alcoholic beverages,Wine,Condiments & sauces,plant
white vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
white wheat berries,Berries,Berries,Fruits,plant
white whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
white wine chablis,Alcoholic beverages,Wine,Condiments & sauces,plant
white wine salt,Salt & seasonings,Salt,Herbs & spices,plant
white wine vinaigrette,Alcoholic beverages,Wine,Condiments & sauces,plant
white wine worcestershire,Alcoholic beverages,Wine,Condiments & sauces,plant
white zinfandel,Alcoholic beverages,Wine,Condiments & sauces,plant
white zinfandel wine,Alcoholic beverages,Wine,Condiments & sauces,plant
whitefish,White fish,Saltwater white fish,Protein (animal),animal
whitefish fillets,White fish,Saltwater white fish,Protein (animal),animal
whiz cheese,Aged cheese,Aged cheese,Dairy,dairy
whole berry,Berries,Berries,Fruits,plant
whole black peppercorn,Dried spices,Whole spices,Herbs & spices,plant
whole black peppercorns,Dried spices,Whole spices,Herbs & spices,plant
whole chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
whole chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
whole coriander,Dried spices,Seed spices,Herbs & spices,plant
whole grain,Whole grains,Wheat,Grains,plant
whole grain cereal,Prepared mixes,Cereals,Grains,plant
whole green peppercorns,Dried spices,Whole spices,Herbs & spices,plant
whole jalapeno,Non-starchy vegetables,Chili peppers,Vegetables,plant
whole jalapenos,Non-starchy vegetables,Chili peppers,Vegetables,plant
whole lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
whole peppercorns,Dried spices,Whole spices,Herbs & spices,plant
whole tortillas,Bread & baked goods,Pastries,Grains,plant
whole wheat,Whole grains,Wheat,Grains,plant
whole wheat berries,Berries,Berries,Fruits,plant
whole wheat breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
whole wheat buns,Bread & baked goods,Rolls,Grains,plant
whole wheat burger buns,Bread & baked goods,Rolls,Grains,plant
whole wheat cereal,Prepared mixes,Cereals,Grains,plant
whole wheat cereal squares,Prepared mixes,Cereals,Grains,plant
whole wheat cracker crumbs,Bread & baked goods,Crackers,Grains,plant
whole wheat crackers,Bread & baked goods,Crackers,Grains,plant
whole wheat croutons,Bread & baked goods,Croutons,Grains,plant
whole wheat dinner,Whole grains,Wheat,Grains,plant
whole wheat dinner rolls,Bread & baked goods,Rolls,Grains,plant
whole wheat elbow macaroni,Refined grains,Pasta,Grains,plant
whole wheat english,Whole grains,Wheat,Grains,plant
whole wheat farfalle,Refined grains,Pasta,Grains,plant
whole wheat fettuccine,Refined grains,Pasta,Grains,plant
whole wheat flake cereal,Prepared mixes,Cereals,Grains,plant
whole wheat fusilli,Refined grains,Pasta,Grains,plant
whole wheat hamburger,Red meat,Ground beef,Protein (animal),animal
whole wheat hamburger buns,Bread & baked goods,Rolls,Grains,plant
whole wheat hoagie rolls,Bread & baked goods,Bread,Grains,plant
whole wheat kaiser rolls,Bread & baked goods,Rolls,Grains,plant
whole wheat lasagna noodles,Refined grains,Pasta,Grains,plant
whole wheat linguine,Refined grains,Pasta,Grains,plant
whole wheat macaroni,Refined grains,Pasta,Grains,plant
whole wheat noodles,Whole grains,Wheat,Grains,plant
whole wheat orzo,Refined grains,Pasta,Grains,plant
whole wheat pancake mix,Prepared mixes,Baking mixes,Grains,plant
whole wheat panko,Bread & baked goods,Bread crumbs,Grains,plant
whole wheat panko breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
whole wheat pastry,Bread & baked goods,Pastries,Grains,plant
whole wheat penne,Refined grains,Pasta,Grains,plant
whole wheat penne rigate,Refined grains,Pasta,Grains,plant
whole wheat pizza,Bread & baked goods,Pizza dough,Grains,plant
whole wheat pizza crust,Bread & baked goods,Pizza dough,Grains,plant
whole wheat pizza dough,Bread & baked goods,Pizza dough,Grains,plant
whole wheat rigatoni,Refined grains,Pasta,Grains,plant
whole wheat roll,Bread & baked goods,Bread,Grains,plant
whole wheat rolls,Bread & baked goods,Bread,Grains,plant
whole wheat rotini,Refined grains,Pasta,Grains,plant
whole wheat s,Whole grains,Wheat,Grains,plant
whole wheat sandwich buns,Bread & baked goods,Rolls,Grains,plant
whole wheat sandwich roll,Bread & baked goods,Bread,Grains,plant
whole wheat sandwich rolls,Bread & baked goods,Bread,Grains,plant
whole wheat sandwich wraps,Whole grains,Wheat,Grains,plant
whole wheat self-rising,Baking ingredients,Leaveners,Grains,plant
whole wheat spaghetti,Refined grains,Pasta,Grains,plant
whole wheat spaghetti noodles,Refined grains,Pasta,Grains,plant
whole wheat toast,Bread & baked goods,Bread,Grains,plant
whole wheat wraps,Whole grains,Wheat,Grains,plant
whole wheat ziti,Refined grains,Pasta,Grains,plant
whole white peppercorns,Dried spices,Whole spices,Herbs & spices,plant
whole-berry,Berries,Cranberry,Fruits,plant
whole-grain,Whole grains,Wheat,Grains,plant
whole-wheat,Whole grains,Wheat,Grains,plant
whole-wheat panko,Bread & baked goods,Bread crumbs,Grains,plant
whole-wheat panko breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
whole-wheat pastry,Bread & baked goods,Pastries,Grains,plant
whole-wheat spaghetti,Refined grains,Pasta,Grains,plant
wholemeal breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
wholemeal self-rising,Baking ingredients,Leaveners,Grains,plant
wide lasagna noodles,Refined grains,Pasta,Grains,plant
wide noodles,Refined grains,Noodles,Grains,plant
wiener,Processed meat,Sausage,Protein (animal),animal
wieners,Processed meat,Sausage,Protein (animal),animal
wild rocket,Leafy greens,Arugula,Vegetables,plant
wine red,Alcoholic beverages,Wine,Condiments & sauces,plant
wine white,Alcoholic beverages,Wine,Condiments & sauces,plant
wish-bone balsamic vinaigrette dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
wish-bone red wine vinaigrette dressing,Alcoholic beverages,Wine,Condiments & sauces,plant
wispride cheese,Aged cheese,Aged cheese,Dairy,dairy
with seeds,Seeds,Seeds,Nuts & seeds,plant
wonton skins,Bread & baked goods,Wrappers,Grains,plant
wonton wrapper,Bread & baked goods,Wrappers,Grains,plant
wonton wrappers,Bread & baked goods,Wrappers,Grains,plant
woven wheat crackers,Bread & baked goods,Crackers,Grains,plant
wright's liquid smoke,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
xanthan,Baking ingredients,Stabilizers,Grains,plant
yellow cake,Prepared mixes,Cake mixes,Sweets,plant
yellow cake layers,Prepared mixes,Cake mixes,Sweets,plant
yellow cake mix,Prepared mixes,Cake mixes,Sweets,plant
yellow chartreuse,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
yellow cheese,Aged cheese,Aged cheese,Dairy,dairy
yellow chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
yellow chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
yellow chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
yellow coloring,Extracts & essences,Food coloring,Herbs & spices,plant
yellow cornbread,Bread & baked goods,Cornbread,Grains,plant
yellow crisco,Margarine & shortening,Shortening,Fats & oils,plant
yellow curry,Condiments & sauces,Curry pastes,Condiments & sauces,plant
yellow deluxe cake mix,Prepared mixes,Cake mixes,Sweets,plant
yellow food color,Extracts & essences,Food coloring,Herbs & spices,plant
yellow food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
yellow frosting,Sweets,Confectionery,Sweets,plant
